product_url,product_name,price,rating,no_of_reviews,asin,description
https://www.amazon.in/Skybags-Unisex-Grey-Jacqard-Laptop/dp/B09ZV9SLBJ,        Skybags Unisex Grey Jacqard 34L Laptop Bags       ,"1,155",4.4,12 ratings,B09ZV9SLBJ,"Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack"
https://www.amazon.in/Baggit-Womens-Satchel-Handbag-Grey/dp/B098TKJG1L,        Baggit Women's Sling Bag (Grey)       ,837,4.3,778 ratings,B098TKJG1L,Faux Material material    Grey colored Satchel Handbag    Strap type : Single    Zip type closing mechanism.    Made in India
https://www.amazon.in/F-Gear-Raider-Marpat-Navy-Backpack/dp/B07F1157TV,        F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo)       ,822,4.2,"2,869 ratings",B07F1157TV,Water Proof with attached Rain cover.    Air Mesh Padding at the Back panel and shoulder straps for utmost Comfort.    Three big compartments and one bottle holder    Dimensions (LxHxW) CM: 33 x 48 x 21 cm    Comes with the F Gear promise of Quality
https://www.amazon.in/Baggit-Womens-Laptop-Bag-Large/dp/B0BNTL7Z7J,        Baggit Women's Laptop Bag - Large (Blue)       ,"1,217",5.0,1 rating,B0BNTL7Z7J,"A bag that carries your world! A tote bag is a shoulder bag with parallel handles and comes either with or without side panels.    Blue exterior with 1 main compartment I 3 total number of pocket I Zipper closure I Cruelty-free premium material    Dimension :- Length : 40.64 cm x Width : 12.7 cm x Height : 30.48 cm    Made in India | 6 Months warranty | Leading fashion laptop bag brand since 30 years.    The elegant women's laptop bag is a perfect match for different occasions, such as travel, shopping, and other daily use, which could be a great ideal gift for your family and friends on their birthdays, anniversaries, weddings, and other special events."
https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9,        F Gear String 11 Ltrs Nylon Black Gym Bag       ,189,4.0,415 ratings,B07PC28YQ9,Lightweight gym bags    Ergonomic Design    Durable    Size-(Hxlxw) Cm-(43x32x2) Cm::Gym Bags    Drawstring closure
https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ,        Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black       ,"1,011",4.2,"53,050 ratings",B075Y72PHZ,"Compatible With 15.6"" Laptop : The Lenovo B210 Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 453g.    High Quality, Durable and Water Repellent Fabric : This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items    Convenient Travel : Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use. Fits Up To (L x D x H) 255 x 22 x 362 mm    Conveniently Placed Padded Laptop Compartments and Packets : The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.    High Quality, Casual yet Stylish Design : Very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop    There might be minor color variation between actual product and image shown on screen due to lighting on the photography    In the Box : 15.6-inch Backpack    Country of Origin: China    
 See more product details"
https://www.amazon.in/ADISA-Womens-Sling-SL5059-CRE_Off-White/dp/B09154JPWQ,        ADISA Women's Quilted Cross Body Sling Bag       ,399,4.1,"2,147 ratings",B09154JPWQ,"Outer Material: PU / Synthetic    Dimensions: LxWxH - 8 x 2.75 x 5.75 inches    Pocket: 1, Compartment: 1    Closure: Twist Lock (Pull 'n' Turn)    Inner Material: Polyester, Occasion: Casual, Evening    Ideal for: Women and Girls"
https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8,"        SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)       ",664,4.4,810 ratings,B09P74TZY8,"External Size (LxWxH): 250x150x200 mm, Internal Size (LxWxH): 230x110x180 mm    Accommodates all Entry Level & Mid Range Digital SLR Cameras with 18-55mm Lens attached + 55 to 250mm lens + Charger & cable , filter , Memory card and other accessories.Waterproof Rain Cover is included for Hustle-free outdoor activities.    back zipper pocket for keys, cards, chargers and other storage; Inner compartment zipper net bag for SD card box, filter cloth, or cleaning kit storage.Two side net pockets. Adjustable shoulder carrying strap.    Polyurethane coating super nylon Water shield Material. With inside detachable divider to adjust the inside space for camera, lens and accessories.    Package Includes: 1*waterproof Camera Case Bag 1*Shoulder Strap 1*Rain Cover 1*Spacer Pad"
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7,"        Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)       ",299,4.1,"7,630 ratings",B088XH1BP7,"Made of multi-coated 600D polyester Material ; Water Repellent    Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters    Small Size backpack; Laptop Compatibility: No    This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more    With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books    6 months limited warranty    
 See more product details"
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M,"        Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)       ",599,3.8,628 ratings,B09B26MB5M,Lightweight yet durable backpack/daypack for school use or everyday outings    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh pockets on both sides to accommodate your water bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Lining Description: Polyester; Closure Type: Zipper; Age Range Description: Adult
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,        ADISA Laptop Backpack 31 Ltrs       ,499,4.0,"8,992 ratings",B07G3CG9FC,"Adjustable Shoulder Handles / Two Bottle holders / Padded Top Handle / Reflector Logo    NOT INCLUDED: NO RAINCOVER, Headphone & Cable (Images only for display)    Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended)    Compartments: 2 with full padding; Front Easy-Access Pocket    Dimensions : L x W x H- 12 x 7 x 18 inches"
